hwid,week,load_S125,load_S181,active_S125,active_S181,n
SW-088,2021-01-18,85.58597809076682,,0.7624570446735395,0.0,6984
SW-088,2021-01-25,70.18031721268852,,0.7108400332686443,0.0,7214
SW-088,2021-02-01,62.53427340383863,92.9,0.5828767123287671,0.005479452054794521,7300
SW-088,2021-02-08,80.33146029834772,,0.6895931358981456,0.0,7226
SW-088,2021-02-15,71.40148198046481,,0.40493726132024005,0.0,7332
SW-088,2021-02-22,54.1183879093199,,0.055369595536959554,0.0,7170
SW-088,2021-03-01,70.79010082493126,,0.42074816814500576,0.0,7779
SW-088,2021-03-08,71.33564814814815,,0.48537144398004584,0.0,7417
SW-088,2021-03-15,58.32258064516129,,0.36154306220095694,0.0,6688
SW-088,2021-03-29,61.56488549618321,82.88111888111888,0.09160839160839161,0.05,2860
SW-106,2020-09-28,54.630559783527815,53.41633430825135,0.8673267326732673,0.8275027502750275,4545
SW-106,2020-10-05,49.7718487394958,51.37031956877466,0.905401978189196,0.8782652802434694,7886
SW-106,2020-10-12,57.03560371517028,56.242447516641064,0.4466466927863563,0.45010371053238074,8678
SW-106,2020-10-19,59.099039172209906,54.91749773345422,0.16629793510324484,0.13557030481809243,8136
SW-106,2020-10-26,50.37417218543046,50.94766708701135,0.10303650631183896,0.09018537472989878,8793
SW-106,2020-11-02,49.81639344262295,49.697594501718214,0.03578552152997771,0.03414290742696234,8523
SW-106,2020-11-09,47.3,51.72222222222222,0.024975024975024976,0.017982017982017984,2002
SW-106,2021-01-04,49.52469135802469,49.32888888888889,0.038001407459535536,0.05277973258268825,4263
SW-106,2021-01-11,46.09161237785016,45.5264155028689,0.7408301158301158,0.7430019305019305,8288
SW-106,2021-01-18,50.024035774175516,58.621917040358746,0.9269430051813472,0.9243523316062177,1930
SW-106,2021-02-08,44.61934972244251,46.08223684210526,0.39295730757245245,0.37893424742910564,3209
SW-106,2021-02-15,45.452608695652174,45.44742729306488,0.6510416666666666,0.5567255434782609,8832
SW-106,2021-02-22,45.908502252252255,46.75451263537906,0.5167297061390748,0.4835612452720396,6874
SW-106,2021-03-08,48.70170494575173,47.017023750207606,0.827928138124125,0.7024031731217919,8572
SW-106,2021-03-15,51.02295081967213,51.39127772486052,0.8236750309440756,0.8269382243726792,8887
SW-106,2021-03-22,55.14373503591381,50.14659336998167,0.9696641386782232,0.929113140380746,6461
SW-115,2020-09-28,48.34604519774011,50.43978102189781,0.06869784591500097,0.05317290898505725,5153
SW-115,2020-10-05,48.51061827956989,51.80015902464882,0.4047878128400435,0.4105549510337323,9190
SW-115,2020-10-12,49.2861,50.59593610998787,0.5548158011540169,0.5488237905015535,9012
SW-115,2020-10-19,51.15193965517241,50.56512605042017,0.05042382090849815,0.05172788524233862,9202
SW-115,2020-10-26,50.52166666666667,50.44053601340033,0.06336466363924385,0.06304784032104763,9469
SW-115,2020-11-02,58.10947225981055,59.796499555028184,0.3933361720246966,0.3588460719608261,9394
SW-115,2020-11-09,52.43694277840817,55.06728406728407,0.6602804238467301,0.5663063255913519,9343
SW-115,2020-11-16,69.27910016510732,67.07436643124221,0.7710587736049226,0.7660725652450668,9426
SW-115,2020-11-23,61.72769640479361,66.06909361069836,0.23693343148596066,0.2831002208434115,9509
SW-115,2020-11-30,76.5282882882883,78.99467478128565,0.2972683449384039,0.2816282806641671,9335
SW-115,2020-12-07,77.1925318368228,76.24787206603044,0.5045741668481812,0.4222391635809192,9182
SW-115,2020-12-14,70.54269275028769,66.39352956775392,0.46130162437626077,0.4003609725023888,9419
SW-115,2020-12-21,72.7215088282504,72.76983260553129,0.33969465648854963,0.2996728462377317,9170
